volume_name,title,authors,year,pdf_link,url
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,"Duan, Yu, Xu, Canwen, Pei, Jiaxin, Han, Jialong, Li, Chenliang",2020,https://aclanthology.org/2020.acl-main.23/,https://aclanthology.org/2020.acl-main.23/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Probabilistically Masked Language Model Capable of Autoregressive Generation in Arbitrary Word Order,"Liao, Yi, Jiang, Xin, Liu, Qun",2020,https://aclanthology.org/2020.acl-main.24/,https://aclanthology.org/2020.acl-main.24/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Reverse Engineering Configurations of Neural Text Generation Models,"Tay, Yi, Bahri, Dara, Zheng, Che, Brunk, Clifford, Metzler, Donald, Tomkins, Andrew",2020,https://aclanthology.org/2020.acl-main.25/,https://aclanthology.org/2020.acl-main.25/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Review-based Question Generation with Adaptive Instance Transfer and Augmentation,"Yu, Qian, Bing, Lidong, Zhang, Qiong, Lam, Wai, Si, Luo",2020,https://aclanthology.org/2020.acl-main.26/,https://aclanthology.org/2020.acl-main.26/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,TAG,"Cai, Ruichu, Liang, Zhihao, Xu, Boyan, Li, Zijian, Hao, Yuexing, Chen, Yao",2020,https://aclanthology.org/2020.acl-main.27/,https://aclanthology.org/2020.acl-main.27/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Unsupervised Paraphrasing by Simulated Annealing,"Liu, Xianggen, Mou, Lili, Meng, Fandong, Zhou, Hao, Zhou, Jie, Song, Sen",2020,https://aclanthology.org/2020.acl-main.28/,https://aclanthology.org/2020.acl-main.28/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,A Joint Model for Document Segmentation and Segment Labeling,"Barrow, Joe, Jain, Rajiv, Morariu, Vlad, Manjunatha, Varun, Oard, Douglas, Resnik, Philip",2020,https://aclanthology.org/2020.acl-main.29/,https://aclanthology.org/2020.acl-main.29/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Contextualized Weak Supervision for Text Classification,"Mekala, Dheeraj, Shang, Jingbo",2020,https://aclanthology.org/2020.acl-main.30/,https://aclanthology.org/2020.acl-main.30/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Every Document Owns Its Structure: Inductive Text Classification via Graph Neural Networks,"Zhang, Yufeng, Yu, Xueli, Cui, Zeyu, Wu, Shu, Wen, Zhongzhen, Wang, Liang",2020,https://aclanthology.org/2020.acl-main.31/,https://aclanthology.org/2020.acl-main.31/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Neural Topic Modeling with Bidirectional Adversarial Training,"Wang, Rui, Hu, Xuemeng, Zhou, Deyu, He, Yulan, Xiong, Yuxuan, Ye, Chenchen, Xu, Haiyang",2020,https://aclanthology.org/2020.acl-main.32/,https://aclanthology.org/2020.acl-main.32/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Text Classification with Negative Supervision,"Ohashi, Sora, Takayama, Junya, Kajiwara, Tomoyuki, Chu, Chenhui, Arase, Yuki",2020,https://aclanthology.org/2020.acl-main.33/,https://aclanthology.org/2020.acl-main.33/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Content Word Aware Neural Machine Translation,"Chen, Kehai, Wang, Rui, Utiyama, Masao, Sumita, Eiichiro",2020,https://aclanthology.org/2020.acl-main.34/,https://aclanthology.org/2020.acl-main.34/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Evaluating Explanation Methods for Neural Machine Translation,"Li, Jierui, Liu, Lemao, Li, Huayang, Li, Guanlin, Huang, Guoping, Shi, Shuming",2020,https://aclanthology.org/2020.acl-main.35/,https://aclanthology.org/2020.acl-main.35/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neural Machine Translation,"Guo, Junliang, Xu, Linli, Chen, Enhong",2020,https://aclanthology.org/2020.acl-main.36/,https://aclanthology.org/2020.acl-main.36/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Learning Source Phrase Representations for Neural Machine Translation,"Xu, Hongfei, van Genabith, Josef, Xiong, Deyi, Liu, Qiuhui, Zhang, Jingyi",2020,https://aclanthology.org/2020.acl-main.37/,https://aclanthology.org/2020.acl-main.37/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Lipschitz Constrained Parameter Initialization for Deep Transformers,"Xu, Hongfei, Liu, Qiuhui, van Genabith, Josef, Xiong, Deyi, Zhang, Jingyi",2020,https://aclanthology.org/2020.acl-main.38/,https://aclanthology.org/2020.acl-main.38/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,L,"Dubois, Yann, Dagan, Gautier, Hupkes, Dieuwke, Bruni, Elia",2020,https://aclanthology.org/2020.acl-main.39/,https://aclanthology.org/2020.acl-main.39/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Multiscale Collaborative Deep Models for Neural Machine Translation,"Wei, Xiangpeng, Yu, Heng, Hu, Yue, Zhang, Yue, Weng, Rongxiang, Luo, Weihua",2020,https://aclanthology.org/2020.acl-main.40/,https://aclanthology.org/2020.acl-main.40/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Norm-Based Curriculum Learning for Neural Machine Translation,"Liu, Xuebo, Lai, Houtim, Wong, Derek F., Chao, Lidia S.",2020,https://aclanthology.org/2020.acl-main.41/,https://aclanthology.org/2020.acl-main.41/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Opportunistic Decoding with Timely Correction for Simultaneous Translation,"Zheng, Renjie, Ma, Mingbo, Zheng, Baigong, Liu, Kaibo, Huang, Liang",2020,https://aclanthology.org/2020.acl-main.42/,https://aclanthology.org/2020.acl-main.42/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,A Formal Hierarchy of RNN,"Merrill, William, Weiss, Gail, Goldberg, Yoav, Schwartz, Roy, Smith, Noah A., Yahav, Eran",2020,https://aclanthology.org/2020.acl-main.43/,https://aclanthology.org/2020.acl-main.43/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,A Three-Parameter Rank-Frequency Relation in Natural Languages,"Ding, Chenchen, Utiyama, Masao, Sumita, Eiichiro",2020,https://aclanthology.org/2020.acl-main.44/,https://aclanthology.org/2020.acl-main.44/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Dice Loss for Data-imbalanced NLP,"Li, Xiaoya, Sun, Xiaofei, Meng, Yuxian, Liang, Junjun, Wu, Fei, Li, Jiwei",2020,https://aclanthology.org/2020.acl-main.45/,https://aclanthology.org/2020.acl-main.45/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Emergence of Syntax Needs Minimal Supervision,Authors Not Found,2020,https://aclanthology.org/2020.acl-main.46/,https://aclanthology.org/2020.acl-main.46/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Language Models as an Alternative Evaluator of Word Order Hypotheses: A Case Study in J,"Kuribayashi, Tatsuki, Ito, Takumi, Suzuki, Jun, Inui, Kentaro",2020,https://aclanthology.org/2020.acl-main.47/,https://aclanthology.org/2020.acl-main.47/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,GCAN,"Lu, Yi-Ju, Li, Cheng-Te",2020,https://aclanthology.org/2020.acl-main.48/,https://aclanthology.org/2020.acl-main.48/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,"Zhong, Lei, Cao, Juan, Sheng, Qiang, Guo, Junbo, Wang, Ziang",2020,https://aclanthology.org/2020.acl-main.49/,https://aclanthology.org/2020.acl-main.49/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Predicting the Topical Stance and Political Leaning of Media using Tweets,"Stefanov, Peter, Darwish, Kareem, Atanasov, Atanas, Nakov, Preslav",2020,https://aclanthology.org/2020.acl-main.50/,https://aclanthology.org/2020.acl-main.50/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora","Gonen, Hila, Jawahar, Ganesh, Seddah, Djam{\'e}, Goldberg, Yoav",2020,https://aclanthology.org/2020.acl-main.51/,https://aclanthology.org/2020.acl-main.51/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,CDL,"Shen, Lei, Feng, Yang",2020,https://aclanthology.org/2020.acl-main.52/,https://aclanthology.org/2020.acl-main.52/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Efficient Dialogue State Tracking by Selectively Overwriting Memory,"Kim, Sungdong, Yang, Sohee, Kim, Gyuwan, Lee, Sang-Woo",2020,https://aclanthology.org/2020.acl-main.53/,https://aclanthology.org/2020.acl-main.53/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,End-to-End Neural Pipeline for Goal-Oriented Dialogue Systems using GPT,"Ham, Donghoon, Lee, Jeong-Gwan, Jang, Youngsoo, Kim, Kee-Eung",2020,https://aclanthology.org/2020.acl-main.54/,https://aclanthology.org/2020.acl-main.54/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Evaluating Dialogue Generation Systems via Response Selection,"Sato, Shiki, Akama, Reina, Ouchi, Hiroki, Suzuki, Jun, Inui, Kentaro",2020,https://aclanthology.org/2020.acl-main.55/,https://aclanthology.org/2020.acl-main.55/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Gated Convolutional Bidirectional Attention-based Model for Off-topic Spoken Response Detection,"Zha, Yefei, Li, Ruobing, Lin, Hui",2020,https://aclanthology.org/2020.acl-main.56/,https://aclanthology.org/2020.acl-main.56/
Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Learning Low-Resource End-To-End Goal-Oriented Dialog for Fast and Reliable System Deployment,"Dai, Yinpei, Li, Hangyu, Tang, Chengguang, Li, Yongbin, Sun, Jian, Zhu, Xiaodan",2020,https://aclanthology.org/2020.acl-main.57/,https://aclanthology.org/2020.acl-main.57/
