volume_name,title,authors,year,pdf_link,url
Findings of the Association for Computational Linguistics: ACL 2024,Thinking about how to extract: Energizing LLM,"Shuang, Kai, Zhouji, Zhouji, Qiwei, Wang, Guo, Jinyu",2024,https://aclanthology.org/2024.findings-acl.328/,https://aclanthology.org/2024.findings-acl.328/
Findings of the Association for Computational Linguistics: ACL 2024,Improving the Robustness of Distantly-Supervised Named Entity Recognition via Uncertainty-Aware Teacher Learning and Student-Student Collaborative Learning,"Si, Shuzheng, Hu, Helan, Zhao, Haozhe, Zeng, Shuang, An, Kaikai, Cai, Zefan, Chang, Baobao",2024,https://aclanthology.org/2024.findings-acl.329/,https://aclanthology.org/2024.findings-acl.329/
Findings of the Association for Computational Linguistics: ACL 2024,Predicting Narratives of Climate Obstruction in Social Media Advertising,"Rowlands, Harri, Morio, Gaku, Tanner, Dylan, Manning, Christopher",2024,https://aclanthology.org/2024.findings-acl.330/,https://aclanthology.org/2024.findings-acl.330/
Findings of the Association for Computational Linguistics: ACL 2024,SSS,"Wang, Huazheng, Sun, Haifeng, Wang, Jingyu, Qi, Qi, Xia, Zixuan, Zhang, Menghao, Liao, Jianxin",2024,https://aclanthology.org/2024.findings-acl.331/,https://aclanthology.org/2024.findings-acl.331/
Findings of the Association for Computational Linguistics: ACL 2024,$\textitGeoHard,"Cai, Fengyu, Zhao, Xinran, Zhang, Hongming, Gurevych, Iryna, Koeppl, Heinz",2024,https://aclanthology.org/2024.findings-acl.332/,https://aclanthology.org/2024.findings-acl.332/
Findings of the Association for Computational Linguistics: ACL 2024,Unveiling Selection Biases: Exploring Order and Token Sensitivity in Large Language Models,"Wei, Sheng-Lun, Wu, Cheng-Kuang, Huang, Hen-Hsen, Chen, Hsin-Hsi",2024,https://aclanthology.org/2024.findings-acl.333/,https://aclanthology.org/2024.findings-acl.333/
Findings of the Association for Computational Linguistics: ACL 2024,A,"Koto, Fajri, Li, Haonan, Shatnawi, Sara, Doughman, Jad, Sadallah, Abdelrahman, Alraeesi, Aisha, Almubarak, Khalid, Alyafeai, Zaid, Sengupta, Neha, Shehata, Shady, Habash, Nizar, Nakov, Preslav, Baldwin, Timothy",2024,https://aclanthology.org/2024.findings-acl.334/,https://aclanthology.org/2024.findings-acl.334/
Findings of the Association for Computational Linguistics: ACL 2024,On the Relationship Between RNN,"Muskardin, Edi, Tappler, Martin, Pill, Ingo, Aichernig, Bernhard, Pock, Thomas",2024,https://aclanthology.org/2024.findings-acl.335/,https://aclanthology.org/2024.findings-acl.335/
Findings of the Association for Computational Linguistics: ACL 2024,XMC,"Liu, Yanjiang, Zhong, Tianyun, Lu, Yaojie, Lin, Hongyu, He, Ben, Zhou, Shuheng, Zhu, Huijia, Wang, Weiqiang, Liu, Zhongyi, Han, Xianpei, Sun, Le",2024,https://aclanthology.org/2024.findings-acl.336/,https://aclanthology.org/2024.findings-acl.336/
Findings of the Association for Computational Linguistics: ACL 2024,Benchmarking Large Language Models on CFLUE,"Zhu, Jie, Li, Junhui, Wen, Yalong, Guo, Lifan",2024,https://aclanthology.org/2024.findings-acl.337/,https://aclanthology.org/2024.findings-acl.337/
Findings of the Association for Computational Linguistics: ACL 2024,Improving Large Language Models via Fine-grained Reinforcement Learning with Minimum Editing Constraint,"Chen, Zhipeng, Zhou, Kun, Zhao, Xin, Wan, Junchen, Zhang, Fuzheng, Zhang, Di, Wen, Ji-Rong",2024,https://aclanthology.org/2024.findings-acl.338/,https://aclanthology.org/2024.findings-acl.338/
Findings of the Association for Computational Linguistics: ACL 2024,Definition generation for lexical semantic change detection,"Fedorova, Mariia, Kutuzov, Andrey, Scherrer, Yves",2024,https://aclanthology.org/2024.findings-acl.339/,https://aclanthology.org/2024.findings-acl.339/
Findings of the Association for Computational Linguistics: ACL 2024,M,"Costa-juss{\`a}, Marta, Meglioli, Mariano, Andrews, Pierre, Dale, David, Hansanti, Prangthip, Kalbassi, Elahe, Mourachko, Alexandre, Ropers, Christophe, Wood, Carleigh",2024,https://aclanthology.org/2024.findings-acl.340/,https://aclanthology.org/2024.findings-acl.340/
Findings of the Association for Computational Linguistics: ACL 2024,Phased Instruction Fine-Tuning for Large Language Models,"Pang, Wei, Zhou, Chuan, Zhou, Xiao-Hua, Wang, Xiaojie",2024,https://aclanthology.org/2024.findings-acl.341/,https://aclanthology.org/2024.findings-acl.341/
Findings of the Association for Computational Linguistics: ACL 2024,TOREE,"Zhuang, Xinlin, Wu, Hongyi, Shen, Xinshu, Yu, Peimin, Yi, Gaowei, Chen, Xinhao, Hu, Tu, Chen, Yang, Ren, Yupei, Zhang, Yadong, Song, Youqi, Liu, Binxuan, Lan, Man",2024,https://aclanthology.org/2024.findings-acl.342/,https://aclanthology.org/2024.findings-acl.342/
Findings of the Association for Computational Linguistics: ACL 2024,Predicting the Unpredictable: Uncertainty-Aware Reasoning over Temporal Knowledge Graphs via Diffusion Process,"Cai, Yuxiang, Liu, Qiao, Gan, Yanglei, Li, Changlin, Liu, Xueyi, Lin, Run, Luo, Da, JiayeYang, JiayeYang",2024,https://aclanthology.org/2024.findings-acl.343/,https://aclanthology.org/2024.findings-acl.343/
Findings of the Association for Computational Linguistics: ACL 2024,Asymmetric Bias in Text-to-Image Generation with Adversarial Attacks,"Shahgir, Haz, Kong, Xianghao, Ver Steeg, Greg, Dong, Yue",2024,https://aclanthology.org/2024.findings-acl.344/,https://aclanthology.org/2024.findings-acl.344/
Findings of the Association for Computational Linguistics: ACL 2024,Controlled Text Generation for Large Language Model with Dynamic Attribute Graphs,"Liang, Xun, Wang, Hanyu, Song, Shichao, Hu, Mengting, Wang, Xunzhi, Li, Zhiyu, Xiong, Feiyu, Tang, Bo",2024,https://aclanthology.org/2024.findings-acl.345/,https://aclanthology.org/2024.findings-acl.345/
Findings of the Association for Computational Linguistics: ACL 2024,Coconut: Contextualized Commonsense Unified Transformers for Graph-Based Commonsense Augmentation of Language Models,"Park, Jun-Hyung, Lee, Mingyu, Kim, Junho, Lee, SangKeun",2024,https://aclanthology.org/2024.findings-acl.346/,https://aclanthology.org/2024.findings-acl.346/
Findings of the Association for Computational Linguistics: ACL 2024,Mass-Editing Memory with Attention in Transformers: A cross-lingual exploration of knowledge,"Tamayo, Daniel, Gonzalez-Agirre, Aitor, Hernando, Javier, Villegas, Marta",2024,https://aclanthology.org/2024.findings-acl.347/,https://aclanthology.org/2024.findings-acl.347/
Findings of the Association for Computational Linguistics: ACL 2024,B,"Labrak, Yanis, Bazoge, Adrien, Morin, Emmanuel, Gourraud, Pierre-Antoine, Rouvier, Mickael, Dufour, Richard",2024,https://aclanthology.org/2024.findings-acl.348/,https://aclanthology.org/2024.findings-acl.348/
Findings of the Association for Computational Linguistics: ACL 2024,All Languages Matter: On the Multilingual Safety of LLM,"Wang, Wenxuan, Tu, Zhaopeng, Chen, Chang, Yuan, Youliang, Huang, Jen-tse, Jiao, Wenxiang, Lyu, Michael",2024,https://aclanthology.org/2024.findings-acl.349/,https://aclanthology.org/2024.findings-acl.349/
Findings of the Association for Computational Linguistics: ACL 2024,LJPC,"Zhang, Yuan, Huang, Wanhong, Feng, Yi, Li, Chuanyi, Fei, Zhiwei, Ge, Jidong, Luo, Bin, Ng, Vincent",2024,https://aclanthology.org/2024.findings-acl.350/,https://aclanthology.org/2024.findings-acl.350/
Findings of the Association for Computational Linguistics: ACL 2024,CMDL,"Huang, Wanhong, Feng, Yi, Li, Chuanyi, Wu, Honghan, Ge, Jidong, Ng, Vincent",2024,https://aclanthology.org/2024.findings-acl.351/,https://aclanthology.org/2024.findings-acl.351/
Findings of the Association for Computational Linguistics: ACL 2024,Model Editing by Standard Fine-Tuning,"Gangadhar, Govind Krishnan, Stratos, Karl",2024,https://aclanthology.org/2024.findings-acl.352/,https://aclanthology.org/2024.findings-acl.352/
